DEPTH,GR ,PEFZ,RT_HRLT ,RHOZ,TNPH,DTCO,DTSM_fast,DTSM_slow
ft,GAPI,PE,ohms,g/cc,V/V,ft/s,ft/s,ft/s
11760,95.6093,4.0622,1.50480091,2.5389,0.1561,75.4629,124.6702,126.5341
11760.5,93.8173,4.0245,1.457407243,2.5507,0.1495,75.1915,123.552,125.0465
11761,101.4191,3.9505,1.382351915,2.5517,0.1469,77.365,124.4717,125.8431
11761.5,113.2593,3.8715,1.36768422,2.5351,0.1491,80.6968,127.7479,128.933
11762,118.6008,3.8342,1.466940985,2.5176,0.1667,80.3093,130.4519,131.1047
11762.5,112.0625,3.9254,1.514699663,2.5099,0.1697,77.7145,131.296,131.694
11763,101.1672,4.068,1.438491876,2.524,0.1447,75.7554,129.3281,129.7347
11763.5,93.9572,4.2014,1.366097628,2.5209,0.1323,76.1568,127.3135,127.9802
11764,91.6184,4.1744,1.387104415,2.4989,0.1435,79.9819,128.7043,129.4039
11764.5,93.5033,4.0732,1.453338678,2.4585,0.1626,82.5985,129.9856,130.2448
11765,97.3407,3.9703,1.479878505,2.442,0.1768,82.9553,131.073,131.5645
11765.5,99.431,3.9774,1.329946148,2.4655,0.1736,81.1868,130.4218,131.6912
11766,92.7018,4.1554,1.537591062,2.5056,0.1524,76.9724,126.0608,127.553
11766.5,78.6797,4.4503,1.810104833,2.5401,0.1315,72.5534,119.6771,121.8512
11767,66.3593,4.7777,2.082519328,2.5473,0.0926,69.1847,114.1743,116.3197
11767.5,57.9506,5.0163,2.358287092,2.5514,0.0758,66.2677,110.9982,112.6262
11768,50.5967,5.1376,2.442532602,2.5702,0.0652,63.4492,108.8399,110.0497
11768.5,44.1831,5.1982,2.432805638,2.5936,0.0666,62.1859,108.0241,109.1001
11769,42.6574,5.2256,2.279051562,2.5994,0.0778,63.3596,109.3418,109.6805
11769.5,47.3021,5.1715,2.150018894,2.5815,0.0923,66.9548,111.8709,111.9775
11770,55.6415,5.0268,2.007122336,2.5601,0.1122,70.6741,115.1098,115.2063
11770.5,63.0465,4.7846,1.847066386,2.5486,0.118,73.5911,118.5722,118.7048
11771,70.2476,4.5218,1.711029019,2.5259,0.1189,77.1634,122.8394,122.9514
11771.5,78.9359,4.2822,1.643051657,2.4769,0.1296,80.7473,127.4317,127.5683
11772,86.3072,4.0898,1.706198025,2.4383,0.1511,82.6561,133.0523,133.1726
11772.5,89.5443,4.0277,1.629663067,2.4368,0.1716,82.5669,132.6668,133.2505
11773,87.6483,4.0654,1.286897726,2.4742,0.1642,80.1254,129.0857,129.1475
11773.5,83.0552,4.2005,1.403255423,2.508,0.1522,76.3746,126.742,126.9107
11774,79.4892,4.3009,1.603662834,2.5234,0.1275,75.5639,123.2803,123.7975
11774.5,80.7845,4.3438,1.672703692,2.5173,0.1255,75.96,120.6909,121.4141
11775,85.6417,4.3298,1.923732972,2.5095,0.1366,74.9875,119.3564,120.1499
11775.5,83.9588,4.4407,2.151290156,2.5167,0.1536,71.3944,117.4852,118.6583
11776,70.3443,4.7048,2.242609747,2.5447,0.1285,66.6776,115.7054,117.1957
11776.5,54.9315,4.9724,2.176951468,2.5742,0.0944,65.3453,113.6342,115.0866
11777,50.4794,5.0876,1.975266745,2.5853,0.074,66.7209,112.9864,114.089
11777.5,56.505,5.0486,1.876366526,2.5838,0.0751,68.1795,113.2808,114.1186
11778,63.3684,4.945,1.885095246,2.5813,0.0851,68.5633,115.6992,116.2946
11778.5,67.4717,4.809,1.904163592,2.5703,0.0959,70.7951,119.4333,119.4396
11779,76.655,4.5843,1.970104366,2.5442,0.1037,76.2474,122.4252,122.7125
11779.5,91.9833,4.3154,1.862818846,2.5069,0.1436,81.657,127.72,127.9194
11780,107.856,4.1036,1.650744124,2.4841,0.1921,84.8607,132.0661,132.1975
11780.5,116.1441,4.0427,1.53417364,2.4751,0.2189,84.9959,133.662,133.8869
11781,116.1866,4.0905,1.492873486,2.4879,0.1827,83.2888,131.8631,132.9948
11781.5,111.3882,4.2112,1.501938742,2.511,0.1708,81.1197,128.8961,130.6094
11782,106.9808,4.4792,1.716064391,2.5429,0.1619,79.6735,124.8566,126.7798
11782.5,93.4207,4.9722,1.862535181,2.5684,0.1352,73.6814,119.706,121.7261
11783,78.6024,5.5257,1.815595744,2.594,0.0688,65.7378,113.7926,115.6223
11783.5,61.2469,5.8712,1.669310278,2.6291,0.0347,58.7149,107.2378,108.6153
11784,45.3697,6.0028,1.581027781,2.654,0.0212,55.9412,104.9441,105.031
11784.5,31.2885,5.8869,1.636935701,2.6583,0.0242,56.5127,104.7844,105.3164
11785,32.0128,5.6267,1.518772202,2.6219,0.0412,63.0527,107.386,107.6677
11785.5,50.7877,5.2373,1.235187948,2.5596,0.0708,70.9602,113.6298,113.8771
11786,77.894,4.8611,1.09087642,2.5098,0.1436,76.8423,122.4594,123.1363
11786.5,107.1167,4.6437,1.056849609,2.4889,0.1661,80.8175,129.5389,129.8117
11787,128.4787,4.6073,1.323536516,2.503,0.171,81.1936,132.4754,133.1871
11787.5,132.9444,4.8875,1.655508388,2.5147,0.1713,78.5418,129.0147,130.7077
11788,118.7551,5.3674,2.492524885,2.5369,0.1496,71.8427,121.1984,123.0484
11788.5,87.6128,5.7515,2.838307522,2.5924,0.1037,63.4724,112.6844,113.8126
11789,59.8666,5.9294,2.385922675,2.652,0.0552,54.7104,104.8406,105.2116
11789.5,41.2609,5.8628,1.996833684,2.6905,0.0506,53.9967,104.2831,104.5059
